danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,156653,blues
0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,219587,blues
0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133,blues
0.547,0.46,11,-8.759,0,0.0256,0.344,0.442,0.0983,0.543,90.768,324733,blues
0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,152351,blues
0.565,0.526,0,-11.352,1,0.0365,0.0339,0.000119,0.11,0.637,167.936,204333,blues
0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,188400,blues
0.518,0.376,9,-18.248,0,0.0431,0.933,0.86,0.0976,0.744,158.089,233560,blues
0.676,0.334,5,-10.572,1,0.0508,0.862,0,0.32,0.867,158.0,162040,blues
0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,230360,blues
0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,169998,blues
0.542,0.502,3,-10.607,0,0.0515,0.195,0.00812,0.174,0.948,174.11,289560,blues
0.321,0.625,2,-5.219,0,0.0302,0.491,5.08e-05,0.345,0.777,107.338,212600,blues
0.56,0.241,4,-15.385,0,0.0314,0.593,0.195,0.122,0.341,79.537,293733,blues
0.572,0.348,0,-13.454,1,0.0294,0.44,0.000721,0.235,0.34,73.304,275267,blues
0.563,0.542,9,-10.862,1,0.0962,0.706,3.59e-05,0.355,0.785,133.285,181000,blues
0.595,0.525,11,-11.582,0,0.0499,0.3,3.15e-05,0.197,0.826,124.569,192200,blues
0.513,0.546,0,-15.672,1,0.0391,0.333,0,0.17,0.834,85.527,164547,blues
0.303,0.648,0,-6.795,1,0.0512,0.642,0.053,0.407,0.644,170.379,412960,blues
