danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.502,0.753,11,-9.625,0,0.0395,0.142,0.00824,0.0891,0.927,122.656,367533,blues
0.638,0.738,9,-9.563,1,0.0271,0.0315,0.000634,0.211,0.816,104.098,304600,blues
0.693,0.454,10,-10.275,0,0.03,0.417,0.000315,0.156,0.914,112.214,183133,blues
0.636,0.668,0,-6.857,1,0.0568,0.749,0.00121,0.0555,0.666,94.668,189133,blues
0.5,0.638,2,-7.262,1,0.0461,0.125,0.0285,0.199,0.746,122.621,239267,blues
0.467,0.277,8,-12.101,1,0.0283,0.89,7.66e-05,0.2,0.535,99.83,163373,blues
0.48,0.303,5,-13.675,1,0.0384,0.812,0,0.0889,0.643,98.282,180453,blues
0.622,0.239,5,-18.982,0,0.0447,0.859,0.051,0.109,0.737,79.674,172867,blues
0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,242000,blues
0.599,0.465,2,-10.559,0,0.0305,0.33,0.000485,0.681,0.68,94.827,268280,blues
0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,152351,blues
0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,188400,blues
0.676,0.334,5,-10.572,1,0.0508,0.862,0,0.32,0.867,158.0,162040,blues
0.673,0.481,9,-9.88,1,0.0488,0.0764,4e-05,0.127,0.767,117.087,178973,blues
0.294,0.736,7,-7.961,0,0.151,0.282,0.0418,0.102,0.753,208.576,314880,blues
0.565,0.526,0,-11.352,1,0.0365,0.0339,0.000119,0.11,0.637,167.936,204333,blues
0.499,0.366,5,-9.566,1,0.0441,0.0108,0.00208,0.0851,0.418,144.563,440200,blues
0.73,0.235,0,-15.276,1,0.0355,0.527,0.0112,0.0663,0.624,87.226,247373,blues
0.626,0.307,9,-14.645,1,0.0836,0.689,0.00663,0.0843,0.62,173.652,196040,blues
0.633,0.625,0,-10.951,1,0.0436,0.492,0.000418,0.204,0.841,103.355,147800,blues
0.746,0.56,5,-14.789,1,0.0565,0.494,0,0.316,0.854,124.68,184960,blues
0.6,0.496,3,-9.537,1,0.062,0.759,0,0.0564,0.621,114.451,616560,blues
0.563,0.542,9,-10.862,1,0.0962,0.706,3.59e-05,0.355,0.785,133.285,181000,blues
0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,238533,blues
0.621,0.693,8,-8.755,1,0.0407,0.579,0.000295,0.0634,0.896,112.439,251307,blues
0.621,0.134,0,-15.836,1,0.0496,0.853,0.0568,0.0412,0.44,103.782,183027,blues
0.462,0.796,9,-6.202,1,0.0322,0.384,0,0.296,0.824,204.028,264240,blues
0.353,0.921,2,-5.64,1,0.0758,0.0488,0.065,0.314,0.526,145.589,271653,blues
0.596,0.545,11,-8.913,0,0.064,0.456,5.53e-05,0.329,0.718,146.953,179733,blues
0.57,0.241,4,-12.138,1,0.0473,0.948,0.0224,0.111,0.543,115.352,181893,blues
0.303,0.648,0,-6.795,1,0.0512,0.642,0.053,0.407,0.644,170.379,412960,blues
0.563,0.871,5,-5.825,1,0.029,0.000197,0.0128,0.0928,0.517,114.894,261627,blues
0.629,0.0192,4,-19.952,1,0.0833,0.989,4.3e-05,0.106,0.335,169.254,188160,blues
0.648,0.544,1,-8.963,1,0.179,0.343,2.93e-06,0.087,0.619,153.063,182827,blues
0.713,0.281,3,-11.057,0,0.0379,0.137,0.0258,0.111,0.397,148.301,318840,blues
0.542,0.502,3,-10.607,0,0.0515,0.195,0.00812,0.174,0.948,174.11,289560,blues
0.467,0.457,7,-9.548,0,0.0371,0.936,0.0201,0.159,0.6,106.441,163933,blues
